PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding,LargestPropertyUseType,SecondLargestPropertyUseType,SiteEUI(kBtu/sf),Electricity(kBtu),NaturalGas(kBtu)
Other,GREATER DUWAMISH,1910,1.0,1,32100,0,32100,Other,,23.60000038,314021.0,443988.0
Warehouse,GREATER DUWAMISH,1966,1.0,1,20520,0,20520,Non-Refrigerated Warehouse,Office,56.90000153,458877.0,709011.0
Warehouse,GREATER DUWAMISH,1945,1.0,1,22972,0,22972,Non-Refrigerated Warehouse,,21.60000038,495481.0,0.0
Warehouse,GREATER DUWAMISH,1953,1.0,1,24990,0,24990,Non-Refrigerated Warehouse,Office,16.20000076,414213.0,109401.0
Retail Store,GREATER DUWAMISH,1951,1.0,2,24000,0,24000,Retail Store,Office,47.79999924,630883.0,688064.0
Warehouse,GREATER DUWAMISH,1963,1.0,1,100386,0,100386,Non-Refrigerated Warehouse,Other - Services,36.09999847,2095246.0,1531185.0
Distribution Center,GREATER DUWAMISH,1966,1.0,1,24354,0,24354,Distribution Center,Office,30.20000076,472280.0,263628.0
Distribution Center,GREATER DUWAMISH,1959,1.0,1,33600,0,33600,Distribution Center,Office,25.20000076,642794.0,204625.0
Other,GREATER DUWAMISH,1974,1.0,1,20819,0,20819,Manufacturing/Industrial Plant,,81.40000153,839797.0,855134.0
Warehouse,GREATER DUWAMISH,1967,1.0,1,23296,0,23296,Non-Refrigerated Warehouse,Office,61.40000153,778664.0,651191.0
Mixed Use Property,GREATER DUWAMISH,1954,1.0,1,35222,0,35222,Non-Refrigerated Warehouse,"Repair Services (Vehicle, Shoe, Locksmith, etc)",51.40000153,1147678.0,610456.0
Refrigerated Warehouse,GREATER DUWAMISH,1957,1.0,1,25520,0,25520,Refrigerated Warehouse,,63.90000153,575346.0,1035448.0
Other,GREATER DUWAMISH,1952,1.0,1,25460,0,25460,Other,,101.5,834712.0,0.0
K-12 School,DELRIDGE,1970,1.0,1,41526,0,41526,K-12 School,,43.70000076,874604.0,940342.0
Small- and Mid-Sized Office,NORTH,1974,1.0,2,24291,0,24291,Office,,37.90000153,920430.0,0.0
Retail Store,NORTH,1958,1.0,2,20738,0,20738,Retail Store,,25.39999962,526753.0,0.0
Mixed Use Property,NORTH,2000,1.0,4,30948,0,30948,Office,Other,39.20000076,919746.0,0.0
Medical Office,NORTH,1986,1.0,2,28385,7056,21329,Medical Office,,129.0,2654315.0,0.0
Warehouse,GREATER DUWAMISH,1978,1.0,1,21755,0,21755,Non-Refrigerated Warehouse,Office,42.09999847,592096.0,251981.0
Other,GREATER DUWAMISH,1960,1.0,1,27933,0,27933,Other,,219.3999939,6129779.0,0.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1983,1.0,1,23143,0,23143,Office,Non-Refrigerated Warehouse,49.29999924,469813.0,670168.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1962,1.0,1,28800,0,28800,Office,Non-Refrigerated Warehouse,58.29999924,786547.0,1028822.0
Warehouse,GREATER DUWAMISH,1952,1.0,1,39600,0,39600,Non-Refrigerated Warehouse,,10.19999981,405050.0,0.0
Warehouse,GREATER DUWAMISH,1952,1.0,1,39600,0,39600,Non-Refrigerated Warehouse,,11.80000019,338683.0,129714.0
Distribution Center,GREATER DUWAMISH,1937,1.0,1,41248,0,41248,Distribution Center,,26.79999924,918219.0,190092.0
Other,GREATER DUWAMISH,2009,1.0,1,36400,0,36400,Other,Retail Store,43.09999847,804194.0,763553.0
Other,SOUTHWEST,1920,1.0,1,31332,0,31332,Other,,114.0,3573328.0,0.0
Worship Facility,SOUTHWEST,1948,1.0,2,35864,0,35864,Worship Facility,,34.20000076,467833.0,760281.0
Worship Facility,GREATER DUWAMISH,1954,1.0,1,20484,0,20484,Worship Facility,,40.20000076,115043.0,707593.0
Medical Office,NORTHEAST,1984,1.0,4,45264,17622,27642,Medical Office,,85.09999847,1849331.0,0.0
Medical Office,NORTHEAST,1987,2.0,4,36932,14576,22356,Medical Office,,102.1999969,2824096.0,0.0
Other,CENTRAL,1973,1.0,4,45082,0,45082,Other/Specialty Hospital,,94.5,2879780.0,1382537.0
Worship Facility,NORTHWEST,1951,0.0,2,41600,0,41600,Worship Facility,,28.70000076,704075.0,491090.0
Small- and Mid-Sized Office,LAKE UNION,1960,1.0,2,34110,0,34110,Office,,75.19999695,2563985.0,0.0
Warehouse,GREATER DUWAMISH,1970,1.0,1,23750,0,23750,Non-Refrigerated Warehouse,Office,25.0,522972.0,0.0
Warehouse,GREATER DUWAMISH,1970,1.0,1,43390,0,43390,Non-Refrigerated Warehouse,Office,12.30000019,533743.0,0.0
Warehouse,GREATER DUWAMISH,1959,1.0,1,35400,0,35400,Non-Refrigerated Warehouse,,11.89999962,282006.0,137973.0
Distribution Center,GREATER DUWAMISH,1966,1.0,1,28144,0,28144,Distribution Center,Office,30.39999962,810350.0,48351.0
Warehouse,GREATER DUWAMISH,1916,1.0,3,71283,0,71283,Non-Refrigerated Warehouse,Office,34.90000153,1931964.0,559274.0
Warehouse,GREATER DUWAMISH,1989,1.0,1,23792,0,23792,Non-Refrigerated Warehouse,Office,119.9000015,2852102.0,0.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1979,1.0,2,47368,0,47368,Office,Parking,22.0,1042653.0,0.0
Mixed Use Property,GREATER DUWAMISH,1931,1.0,1,46183,0,46183,Non-Refrigerated Warehouse,Food Service,40.90000153,1571102.0,319400.0
Small- and Mid-Sized Office,CENTRAL,1984,1.0,5,72613,22788,49825,Office,Parking,52.20000076,2086017.0,516197.0
Retail Store,SOUTHEAST,1968,1.0,1,36071,0,36071,Retail Store,,42.09999847,649355.0,870597.0
K-12 School,SOUTHEAST,1989,1.0,3,51672,0,51672,K-12 School,,27.79999924,1213523.0,222987.0
Medical Office,SOUTHEAST,1990,1.0,2,38352,11082,27270,Medical Office,Office,76.69999695,2108861.0,0.0
Mixed Use Property,SOUTHEAST,1995,1.0,1,28425,0,28425,Fitness Center/Health Club/Gym,Other - Recreation,75.19999695,1215305.0,918493.0
Other,NORTH,2009,1.0,3,35115,0,35115,Automobile Dealership,,54.79999924,1521297.0,401656.0
Mixed Use Property,NORTHWEST,1972,1.0,1,66704,0,66704,Other - Education,Distribution Center,9.0,262709.0,337808.0
Warehouse,NORTHWEST,1969,1.0,1,25658,0,25658,Non-Refrigerated Warehouse,Office,41.5,815633.0,248327.0
Small- and Mid-Sized Office,EAST,1907,1.0,2,36000,0,36000,Office,Other,29.10000038,813255.0,232933.0
Mixed Use Property,EAST,1913,1.0,1,36000,0,36000,Parking,Retail Store,64.59999847,763041.0,399122.0
Warehouse,EAST,1915,1.0,2,43200,0,43200,Non-Refrigerated Warehouse,,44.70000076,1155595.0,774256.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1913,1.0,4,53840,12870,40970,Office,Parking,68.0,2337197.0,575257.0
Retail Store,GREATER DUWAMISH,1975,1.0,1,43794,0,43794,Retail Store,Office,26.60000038,831084.0,333454.0
Warehouse,GREATER DUWAMISH,1968,1.0,1,48280,0,48280,Non-Refrigerated Warehouse,Office,56.0,1407161.0,1294673.0
Distribution Center,GREATER DUWAMISH,1954,1.0,1,36040,0,36040,Distribution Center,Office,10.10000038,251031.0,112777.0
Supermarket / Grocery Store,NORTHEAST,1965,1.0,1,32822,0,32822,Supermarket/Grocery Store,Parking,252.3000031,5408701.0,3431110.0
K-12 School,NORTHEAST,1948,1.0,1,64314,0,64314,K-12 School,,45.0,1038090.0,1898246.0
Worship Facility,NORTHEAST,1950,1.0,2,20385,0,20385,Worship Facility,,39.70000076,193858.0,615434.0
Worship Facility,NORTHEAST,1946,1.0,1,24295,0,24295,Worship Facility,,8.899999619,216115.0,0.0
Small- and Mid-Sized Office,NORTHEAST,1967,1.0,2,20317,0,20317,Office,,30.60000038,620994.0,0.0
Supermarket / Grocery Store,NORTHEAST,1973,1.0,1,24377,0,24377,Supermarket/Grocery Store,,404.1000061,5697593.0,4153667.0
Other,NORTHWEST,1986,1.0,1,33392,0,33392,Movie Theater,,83.5,2786648.0,0.0
Supermarket / Grocery Store,NORTHWEST,1986,0.0,1,45155,0,45155,Supermarket/Grocery Store,,147.8000031,4244454.0,2429726.0
Warehouse,GREATER DUWAMISH,1966,1.0,1,32000,0,32000,Non-Refrigerated Warehouse,,68.19999695,1611215.0,574933.0
Warehouse,GREATER DUWAMISH,1970,1.0,1,44000,0,44000,Non-Refrigerated Warehouse,,94.69999695,1148123.0,3154333.0
Warehouse,GREATER DUWAMISH,1973,1.0,1,36000,0,36000,Non-Refrigerated Warehouse,,77.0,494348.0,2277473.0
Warehouse,GREATER DUWAMISH,1979,1.0,1,31360,0,31360,Non-Refrigerated Warehouse,Retail Store,43.59999847,626210.0,730762.0
Warehouse,GREATER DUWAMISH,1979,1.0,1,33320,0,33320,Non-Refrigerated Warehouse,Office,70.0,1289233.0,1050001.0
Warehouse,GREATER DUWAMISH,1979,1.0,1,48020,0,48020,Non-Refrigerated Warehouse,,49.70000076,1450508.0,923060.0
Warehouse,GREATER DUWAMISH,1979,1.0,1,27420,0,27420,Non-Refrigerated Warehouse,,42.20000076,507743.0,668599.0
K-12 School,CENTRAL,1929,1.0,2,24152,0,24152,K-12 School,,6.699999809,161363.0,0.0
K-12 School,NORTHEAST,1949,1.0,2,43645,0,43645,K-12 School,,55.5,518880.0,1535077.0
Retail Store,NORTHEAST,1952,1.0,1,26853,0,26853,Retail Store,,68.69999695,1145340.0,253723.0
Other,GREATER DUWAMISH,1909,1.0,4,44775,0,44775,Other,,21.20000076,446650.0,504046.0
Other,GREATER DUWAMISH,1916,2.0,1,27760,0,27760,Other,Office,75.09999847,816471.0,2017153.0
Other,GREATER DUWAMISH,1937,1.0,1,20975,0,20975,Other - Entertainment/Public Assembly,Other,16.70000076,259882.0,87556.0
Other,GREATER DUWAMISH,1918,1.0,1,26075,0,26075,Other,,61.70000076,1470083.0,138426.0
Warehouse,GREATER DUWAMISH,1992,1.0,1,29394,0,29394,Non-Refrigerated Warehouse,Office,32.09999847,1141948.0,344734.0
Warehouse,GREATER DUWAMISH,1926,1.0,2,20400,0,20400,Non-Refrigerated Warehouse,Office,21.5,241070.0,197487.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1926,1.0,1,20460,0,20460,Office,,44.20000076,903542.0,0.0
Self-Storage Facility,GREATER DUWAMISH,1925,1.0,2,25821,0,25821,Self-Storage Facility,,8.100000381,209699.0,0.0
Refrigerated Warehouse,GREATER DUWAMISH,1955,1.0,2,21870,0,21870,Refrigerated Warehouse,,49.09999847,1074350.0,0.0
Warehouse,GREATER DUWAMISH,1988,3.0,1,51664,0,51664,Non-Refrigerated Warehouse,,68.30000305,2614003.0,914084.0
Medical Office,DELRIDGE,1970,1.0,1,43615,0,43615,Medical Office,,71.90000153,1302454.0,1831396.0
Small- and Mid-Sized Office,DELRIDGE,1970,1.0,3,36879,0,36879,Office,,67.90000153,1144267.0,0.0
Other,DELRIDGE,2002,1.0,2,28531,0,28531,Other,Parking,123.5,2013762.0,1481167.0
Warehouse,DELRIDGE,1982,1.0,2,36600,0,36600,Non-Refrigerated Warehouse,,7.099999905,308400.0,0.0
Mixed Use Property,SOUTHWEST,2004,1.0,5,35176,0,35176,Office,Other,35.0,1011965.0,0.0
K-12 School,NORTH,1959,1.0,1,36701,0,36701,K-12 School,,38.79999924,761419.0,803473.0
University,LAKE UNION,1940,1.0,2,41293,15243,26050,College/University,Medical Office,68.59999847,1932090.0,907792.0
Warehouse,GREATER DUWAMISH,1941,1.0,1,48890,0,48890,Non-Refrigerated Warehouse,Office,43.0,1082370.0,1017846.0
Small- and Mid-Sized Office,GREATER DUWAMISH,2000,1.0,3,43473,0,43473,Office,,101.5999985,4416909.0,0.0
Retail Store,DELRIDGE,1990,1.0,1,40265,0,40265,Retail Store,,91.69999695,3536625.0,203748.0
Retail Store,DELRIDGE,2005,1.0,1,26208,0,26208,Retail Store,,49.59999847,1036767.0,572117.0
Other,DELRIDGE,1975,0.0,2,27227,0,27227,Other - Recreation,Fitness Center/Health Club/Gym,204.8000031,3053337.0,5000997.0
Mixed Use Property,BALLARD,1926,1.0,1,42172,0,42172,Other - Education,Other - Entertainment/Public Assembly,77.30000305,473305.0,2802474.0
Small- and Mid-Sized Office,DOWNTOWN,1910,1.0,5,32250,0,32250,Office,,24.70000076,668479.0,127563.0
Retail Store,NORTHWEST,1953,1.0,1,51000,0,51000,Retail Store,,25.5,1187021.0,111019.0
Mixed Use Property,GREATER DUWAMISH,1916,1.0,1,27000,0,27000,Other,Other - Entertainment/Public Assembly,8.5,229857.0,0.0
Other,GREATER DUWAMISH,1935,1.0,2,20747,0,20747,Other - Entertainment/Public Assembly,Restaurant,48.29999924,775118.0,226846.0
Warehouse,GREATER DUWAMISH,1928,1.0,2,40800,0,40800,Non-Refrigerated Warehouse,Office,20.0,337487.0,479769.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1920,1.0,2,20150,0,20150,Office,,28.60000038,576174.0,0.0
Small- and Mid-Sized Office,DOWNTOWN,1909,1.0,7,36000,0,36000,Office,,53.40000153,1682455.0,0.0
Warehouse,GREATER DUWAMISH,1938,1.0,2,41276,0,41276,Non-Refrigerated Warehouse,Retail Store,60.59999847,786001.0,1716080.0
Refrigerated Warehouse,GREATER DUWAMISH,1937,0.0,2,24430,0,24430,Refrigerated Warehouse,Other,50.59999847,907206.0,325617.0
Other,GREATER DUWAMISH,1910,1.0,3,27690,0,27690,Other,Parking,0.699999988,16809.0,0.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1927,1.0,1,22580,0,22580,Office,,41.09999847,859792.0,68793.0
Warehouse,CENTRAL,1926,1.0,1,20000,0,20000,Non-Refrigerated Warehouse,,37.20000076,129264.0,614264.0
Warehouse,CENTRAL,1954,1.0,1,42000,0,42000,Non-Refrigerated Warehouse,Office,49.29999924,604078.0,1465928.0
Self-Storage Facility,CENTRAL,1962,1.0,1,24248,0,24248,Self-Storage Facility,Parking,5.300000191,111750.0,220.0
Warehouse,GREATER DUWAMISH,1932,1.0,1,24617,0,24617,Non-Refrigerated Warehouse,,4.699999809,106918.0,0.0
Other,GREATER DUWAMISH,2009,1.0,3,127065,84710,42355,Parking,Office,76.59999847,3245111.0,0.0
Retail Store,GREATER DUWAMISH,1964,1.0,1,37247,0,37247,Retail Store,,46.90000153,747998.0,1000646.0
Retail Store,BALLARD,1993,1.0,1,25384,0,25384,Retail Store,,129.0,1811508.0,1216359.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1910,0.0,3,49052,0,49052,Office,Retail Store,34.0,1441445.0,0.0
Warehouse,GREATER DUWAMISH,1900,1.0,2,52110,0,52110,Non-Refrigerated Warehouse,,18.29999924,130124.0,456465.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1910,1.0,2,20970,0,20970,Office,Parking,9.800000191,117680.0,86819.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1937,1.0,2,39036,0,39036,Office,Other,37.09999847,908543.0,619753.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1923,1.0,1,26310,0,26310,Office,Non-Refrigerated Warehouse,22.79999924,563096.0,208417.0
Retail Store,SOUTHEAST,1966,1.0,1,37883,0,37883,Retail Store,Supermarket/Grocery Store,232.1999969,5359975.0,7074617.0
K-12 School,DELRIDGE,1962,1.0,3,29874,0,29874,K-12 School,,40.59999847,290239.0,983811.0
Worship Facility,MAGNOLIA / QUEEN ANNE,1965,1.0,1,20140,0,20140,Worship Facility,Parking,45.09999847,122390.0,870405.0
Self-Storage Facility,NORTHWEST,1990,1.0,2,71874,31389,40485,Self-Storage Facility,,17.29999924,455972.0,786840.0
Small- and Mid-Sized Office,CENTRAL,1971,1.0,2,39953,0,39953,Office,,50.09999847,1128549.0,380013.0
Retail Store,CENTRAL,1998,1.0,2,21200,0,21200,Retail Store,Office,79.09999847,1676426.0,0.0
Supermarket / Grocery Store,CENTRAL,1980,1.0,1,30630,0,30630,Supermarket/Grocery Store,Other,196.0,6058493.0,0.0
Retail Store,CENTRAL,1980,1.0,2,23421,0,23421,Retail Store,Bank Branch,81.0,1896626.0,0.0
K-12 School,BALLARD,1931,1.0,3,117116,0,117116,K-12 School,,48.90000153,1031648.0,4690677.0
Worship Facility,BALLARD,1928,1.0,2,24120,0,24120,Worship Facility,,37.0,344302.0,548751.0
Worship Facility,BALLARD,1929,1.0,3,35736,0,35736,Worship Facility,Office,32.09999847,213096.0,935106.0
Warehouse,GREATER DUWAMISH,1941,1.0,1,51050,0,51050,Non-Refrigerated Warehouse,,24.39999962,787054.0,419112.0
Retail Store,GREATER DUWAMISH,1954,1.0,2,21900,0,21900,Retail Store,,59.5,574237.0,727956.0
Distribution Center,GREATER DUWAMISH,1952,1.0,1,16300,0,16300,Distribution Center,,2.299999952,138179.0,11989.0
Warehouse,GREATER DUWAMISH,1964,1.0,1,33462,0,33462,Non-Refrigerated Warehouse,,41.40000153,1386445.0,0.0
Mixed Use Property,GREATER DUWAMISH,1952,1.0,1,35310,0,35310,Other,Non-Refrigerated Warehouse,45.59999847,564235.0,767235.0
Other,GREATER DUWAMISH,1962,1.0,3,36140,0,36140,Other,,134.0,4653534.0,0.0
Other,DOWNTOWN,1991,1.0,2,47963,21384,26579,Other - Mall,Parking,275.3999939,2918371.0,5245042.0
Warehouse,DOWNTOWN,1930,1.0,1,23903,0,23903,Non-Refrigerated Warehouse,Worship Facility,18.20000076,166749.0,248616.0
Self-Storage Facility,NORTHEAST,1947,1.0,3,22522,0,22522,Self-Storage Facility,,24.89999962,136609.0,424865.0
Self-Storage Facility,NORTHEAST,1996,1.0,4,38959,0,38959,Self-Storage Facility,,23.20000076,525913.0,379837.0
Warehouse,GREATER DUWAMISH,1928,1.0,2,25955,0,25955,Non-Refrigerated Warehouse,Other - Services,46.90000153,1218112.0,0.0
K-12 School,EAST,1923,1.0,4,46100,0,46100,K-12 School,Parking,47.20000076,1097533.0,531237.0
Worship Facility,NORTHWEST,1951,1.0,2,21936,0,21936,Worship Facility,,27.79999924,77010.0,531746.0
Other,NORTH,1960,1.0,1,25406,0,25406,"Personal Services (Health/Beauty, Dry Cleaning, etc)",,96.09999847,1901857.0,540363.0
Small- and Mid-Sized Office,SOUTHEAST,1967,1.0,2,23250,0,23250,Office,,41.09999847,904236.0,0.0
Warehouse,GREATER DUWAMISH,1960,1.0,1,30000,0,30000,Non-Refrigerated Warehouse,Parking,93.19999695,600754.0,2194083.0
Warehouse,GREATER DUWAMISH,1962,1.0,1,45036,0,45036,Non-Refrigerated Warehouse,"Repair Services (Vehicle, Shoe, Locksmith, etc)",42.70000076,988941.0,802757.0
K-12 School,SOUTHWEST,1962,1.0,1,51410,0,51410,K-12 School,,38.29999924,862071.0,1106836.0
Mixed Use Property,DOWNTOWN,2009,1.0,39,1074552,112124,962428,Multifamily Housing,Hotel,43.0,20663978.0,5752789.0
University,MAGNOLIA / QUEEN ANNE,1959,1.0,2,122679,0,122679,College/University,Restaurant,159.0,6103316.0,10274835.0
University,MAGNOLIA / QUEEN ANNE,1945,14.0,2,537000,0,537000,College/University,,169.6999969,22619097.0,67990538.0
Small- and Mid-Sized Office,NORTH,1980,1.0,4,23022,0,23022,Office,,44.59999847,865244.0,161987.0
Refrigerated Warehouse,GREATER DUWAMISH,1967,1.0,1,27263,0,27263,Refrigerated Warehouse,Other,90.80000305,2470642.0,0.0
Warehouse,GREATER DUWAMISH,1962,1.0,1,31569,0,31569,Non-Refrigerated Warehouse,,92.80000305,804992.0,2259047.0
Warehouse,GREATER DUWAMISH,1956,1.0,1,22509,0,22509,Non-Refrigerated Warehouse,,7.900000095,177813.0,0.0
Warehouse,GREATER DUWAMISH,1956,1.0,1,39984,0,39984,Non-Refrigerated Warehouse,Office,26.79999924,437302.0,635854.0
K-12 School,EAST,1925,1.0,2,73769,0,73769,K-12 School,,34.70000076,886515.0,1669616.0
Worship Facility,EAST,1906,1.0,1,26440,0,26440,Worship Facility,,27.20000076,223375.0,496530.0
K-12 School,NORTHEAST,1961,1.0,1,43578,0,43578,K-12 School,,31.70000076,1120124.0,316650.0
Self-Storage Facility,GREATER DUWAMISH,1956,1.0,2,28800,0,28800,Self-Storage Facility,,39.70000076,678658.0,465168.0
K-12 School,CENTRAL,2009,4.0,2,28500,0,28500,K-12 School,,37.40000153,717507.0,445054.0
Restaurant,LAKE UNION,1978,1.0,2,26519,0,26519,Restaurant,Office,140.1999969,2170550.0,1546514.0
Mixed Use Property,LAKE UNION,1988,1.0,2,34639,15402,19237,Restaurant,Other,359.7000122,6642344.0,8838336.0
Other,MAGNOLIA / QUEEN ANNE,1921,1.0,2,26300,0,26300,Other - Entertainment/Public Assembly,,134.5,1537923.0,1999918.0
Restaurant,LAKE UNION,1962,0.0,2,34072,0,34072,Restaurant,,193.3000031,2664187.0,3920779.0
Small- and Mid-Sized Office,LAKE UNION,1949,1.0,3,23355,0,23355,Office,,38.40000153,840549.0,0.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1965,1.0,4,30840,0,30840,Office,Restaurant,116.4000015,1884294.0,1658414.0
Other,NORTHEAST,1946,1.0,1,20332,0,20332,Other,,19.29999924,213927.0,178757.0
Worship Facility,CENTRAL,1900,1.0,1,21850,0,21850,Worship Facility,,14.5,82056.0,235738.0
Mixed Use Property,NORTHEAST,1997,1.0,4,32282,6985,25297,Multifamily Housing,Parking,55.0,851657.0,540057.0
Large Office,DOWNTOWN,1983,1.0,13,307557,83064,224493,Office,Parking,40.79999924,9512827.0,0.0
Self-Storage Facility,MAGNOLIA / QUEEN ANNE,1918,1.0,2,28309,0,28309,Self-Storage Facility,,15.19999981,238481.0,191828.0
Hotel,DOWNTOWN,1914,1.0,4,45500,0,45500,Hotel,,61.5,1069553.0,788902.0
Small- and Mid-Sized Office,DOWNTOWN,1900,1.0,5,38376,0,38376,Office,Retail Store,65.0,2058533.0,0.0
Small- and Mid-Sized Office,DOWNTOWN,1900,1.0,4,42804,0,42804,Office,Retail Store,50.29999924,769417.0,775085.0
Mixed Use Property,DOWNTOWN,2005,0.0,5,57600,0,57600,Residence Hall/Dormitory,Multifamily Housing,138.0,3197921.0,3785814.0
Small- and Mid-Sized Office,DOWNTOWN,1900,1.0,4,33300,0,33300,Office,Restaurant,38.70000076,1075503.0,211994.0
Hotel,DOWNTOWN,1900,1.0,3,25450,0,25450,Hotel,,19.79999924,503745.0,0.0
Other,DOWNTOWN,1900,1.0,3,22200,0,22200,Other,,8.5,64453.0,124293.0
Warehouse,MAGNOLIA / QUEEN ANNE,1968,1.0,2,29498,0,29498,Non-Refrigerated Warehouse,Office,130.3999939,3253683.0,515217.0
Warehouse,LAKE UNION,1938,1.0,1,23050,0,23050,Non-Refrigerated Warehouse,,20.20000076,466673.0,0.0
Small- and Mid-Sized Office,LAKE UNION,2008,1.0,4,48350,0,48350,,,72.19999695,3168131.0,0.0
Retail Store,NORTHEAST,1930,1.0,1,46059,0,46059,Retail Store,,34.40000153,1374074.0,208582.0
Medical Office,NORTHEAST,1970,1.0,2,23595,0,23595,Medical Office,,34.59999847,799401.0,18009.0
Small- and Mid-Sized Office,DOWNTOWN,1900,1.0,3,28142,0,28142,Office,,30.10000038,414101.0,92381.0
Small- and Mid-Sized Office,DOWNTOWN,1900,1.0,3,28760,0,28760,Office,Retail Store,107.5,572200.0,1543021.0
Small- and Mid-Sized Office,DOWNTOWN,1902,1.0,4,39030,0,39030,Office,Retail Store,18.39999962,524342.0,188985.0
Small- and Mid-Sized Office,DOWNTOWN,1909,0.0,3,47215,0,47215,Office,Retail Store,45.5,1597575.0,991813.0
Other,EAST,1926,1.0,2,61580,27000,34580,Other,Parking,115.8000031,3327045.0,872398.0
Small- and Mid-Sized Office,EAST,1917,1.0,3,30720,0,30720,Office,Retail Store,41.90000153,930084.0,358585.0
Mixed Use Property,EAST,1916,1.0,2,20640,0,20640,Retail Store,Office,19.29999924,412562.0,0.0
Mixed Use Property,EAST,1912,1.0,2,34914,0,34914,Retail Store,Restaurant,42.40000153,1333290.0,0.0
Small- and Mid-Sized Office,EAST,1906,1.0,3,20897,0,20897,Office,Retail Store,56.59999847,725243.0,239681.0
Retail Store,EAST,1916,1.0,2,36940,0,36940,Retail Store,,9.100000381,336745.0,0.0
Small- and Mid-Sized Office,EAST,1913,1.0,3,22866,0,22866,Office,,50.5,877955.0,275735.0
Retail Store,EAST,1920,1.0,1,30240,0,30240,Retail Store,Restaurant,38.40000153,1061362.0,203265.0
Other,NORTHEAST,1962,1.0,2,28586,0,28586,Other,,187.8999939,5078203.0,0.0
Hotel,DOWNTOWN,1908,1.0,3,28800,0,28800,Hotel,Restaurant,161.3000031,1218294.0,3426052.0
Restaurant,DOWNTOWN,1913,1.0,3,28800,0,28800,,,31.20000076,402907.0,497017.0
Small- and Mid-Sized Office,DOWNTOWN,1979,1.0,3,35202,0,35202,Office,Bank Branch,108.0999985,3605755.0,0.0
Worship Facility,EAST,1910,1.0,2,24600,0,24600,Worship Facility,,13.5,258312.0,72748.0
Worship Facility,EAST,1900,1.0,1,48850,0,48850,Worship Facility,Office,28.89999962,239923.0,7881.0
Hospital,SOUTHWEST,1961,0.0,3,54863,0,54863,Hospital (General Medical & Surgical),,18.60000038,2037720.0,0.0
Warehouse,GREATER DUWAMISH,1964,1.0,1,25000,0,25000,Non-Refrigerated Warehouse,Food Sales,79.59999847,861621.0,1127483.0
Warehouse,GREATER DUWAMISH,1960,1.0,1,25000,0,25000,Non-Refrigerated Warehouse,Office,11.5,143797.0,143335.0
Other,GREATER DUWAMISH,1927,1.0,1,22622,0,22622,Manufacturing/Industrial Plant,,33.70000076,315436.0,458640.0
Small- and Mid-Sized Office,EAST,1917,1.0,3,27544,0,27544,Office,Parking,46.09999847,810115.0,221553.0
Small- and Mid-Sized Office,DOWNTOWN,1989,1.0,7,47415,0,47415,Office,Parking,43.40000153,1478979.0,0.0
Other,MAGNOLIA / QUEEN ANNE,1961,1.0,3,22960,0,22960,Other - Entertainment/Public Assembly,,98.69999695,542327.0,1724655.0
Supermarket / Grocery Store,EAST,1998,1.0,1,44739,0,44739,Supermarket/Grocery Store,Parking,326.0,8270312.0,6315500.0
Mixed Use Property,NORTHEAST,1948,1.0,1,22778,0,22778,Retail Store,Office,56.5,224359.0,2246207.0
Worship Facility,BALLARD,1956,1.0,2,21562,0,21562,Worship Facility,Pre-school/Daycare,40.40000153,189790.0,677016.0
Other,CENTRAL,1959,1.0,1,25753,0,25753,Other - Entertainment/Public Assembly,,53.5,231543.0,1146587.0
Other,EAST,1928,1.0,3,71280,0,71280,Other - Recreation,,319.3999939,7528486.0,15239341.0
K-12 School,EAST,1925,1.0,3,38297,0,38297,K-12 School,,48.20000076,624583.0,1220568.0
Mixed Use Property,DOWNTOWN,2009,1.0,19,1206670,201857,1004813,Office,Multifamily Housing,54.59999847,23343425.0,4341053.0
Worship Facility,SOUTHEAST,1968,1.0,1,24200,0,24200,Worship Facility,Parking,34.20000076,466335.0,360154.0
Self-Storage Facility,DELRIDGE,1994,1.0,3,66610,0,66610,Self-Storage Facility,,9.600000381,329414.0,310963.0
Other,GREATER DUWAMISH,1950,1.0,1,36000,0,36000,Other,Office,103.0,2922836.0,723217.0
K-12 School,NORTHWEST,1938,1.0,2,23222,0,23222,K-12 School,,81.30000305,210763.0,1009100.0
Mixed Use Property,EAST,1924,1.0,2,24476,0,24476,Fitness Center/Health Club/Gym,Office,111.4000015,1077101.0,1584953.0
Retail Store,EAST,1910,0.0,2,24750,0,24750,Retail Store,Office,34.70000076,292118.0,490226.0
K-12 School,EAST,1904,1.0,3,60000,0,60000,K-12 School,,74.30000305,1537012.0,2088395.0
